Barcode,"Last, First" 
19HWC2,"Independence, Wombat"
19HWI4,"CoolGrey, BlackRussianTerrier"
19I1LD,"AmericanRose, PurpleEmperor"
19I2VM,"RobinEggBlue, Deer"
19I2WJ,"RomanSilver, Olm"
19I36Q,"DeepSkyBlue, Raccoon"
19I7A6,"IndigoDye, GreaterSwissMountainDog"
19I7XE,"FluorescentOrange, Akita"
19I9HI,"DarkPastelRed, DeutscheBracke"
19IA6Q,"OldSilver, Beaver"
19ICM7,"OldRose, LeopardCat"
19IE4Y,"MediumTuscanRed, Wolf"
19IEHU,"BlueYonder, Vicuna"
19IGD5,"FrenchPlum, Panther"
19IHVD,"ItalianSkyBlue, Duck"
19IJM2,"Beige, Pug"
19IK8S,"BrilliantLavender, GentooPenguin"
19IKUK,"DeepViolet, PondSkater"
19ILVL,"RaspberryGlace, Dog"
19IMKN,"PrussianBlue, SquirrelMonkey"
19IMZI,"EnglishVermillion, IndianRhinoceros"
19IQCP,"PurpleTaupe, RiverDolphin"
19IS1E,"BarnRed, Tropicbird"
19IUV7,"DarkTan, BoxerDog"
19IUY3,"DarkSpringGreen, KillerWhale"
19IXH8,"DeepSkyBlue, KillerWhale"
19J025,"PastelGray, Eagle"
19J0BR,"PaleCerulean, Baboon"
19J123,"AshGrey, Caribou"
19J1AJ,"RoyalPurple, Lemming"
19J1QH,"Pear, Cockroach"
19J2D3,"EnglishRed, FrenchBulldog"
19J8NB,"Gamboge, Drever"
19JCDP,"Sinopia, GlassLizard"
19JECG,"BeauBlue, Tapir"
19JFH7,"GiantsOrange, Dugong"
19JG9C,"MistyRose, BengalTiger"
19JHIY,"DeepMauve, RoseateSpoonbill"
19JLH5,"DarkPastelPurple, GoldenLionTamarin"
19JMBH,"Rose, Budgerigar"
19JNT1,"SeaGreen, BlueWhale"
19JNWC,"Bubbles, Llama"
19JQ4K,"Grizzly, SlenderLoris"
19JSXE,"DarkTangerine, Emu"
19JUGT,"BrilliantRose, Pig"
19JXHB,"LightCarminePink, IbizanHound"
19JYGS,"BulgarianRose, SeaUrchin"
19JZOK,"NadeshikoPink, GreenlandDog"
19K0AP,"Rose, Opossum"
19K0T3,"DebianRed, Neanderthal"
19K30S,"OldBurgundy, Pike"
19K3H1,"Lust, RedKneeTarantula"
19K3Z4,"Fallow, Boar"
19KBBZ,"PaleRedViolet, Reindeer"
19KBZU,"Tuscany, LabradorRetriever"
19KDQJ,"RussianViolet, MakoShark"
19KJJM,"Fuchsia, Mongrel"
19KJQU,"SpanishOrange, Duck"
19KNBA,"RuddyBrown, GoldenRetriever"
19KS6E,"Moccasin, Porpoise"
19KSL1,"CoolBlack, PussMoth"
19KU4P,"SeaSerpent, WestHighlandTerrier"
19KVFR,"CoolGrey, PatasMonkey"
19L2G6,"Ruber, Barb"
19L2WN,"Rhythm, Groundhog"
19L2Z5,"MintCream, RedKangaroo"
19L3YK,"Isabelline, Piranha"
19L5O8,"Cyclamen, HowlerMonkey"
19L77X,"Mahogany, Fish"
19L9DP,"CerisePink, Pig"
19L9F9,"PinkPearl, Quokka"
19LDP1,"GuppieGreen, Bandicoot"
19LJ1P,"BattleshipGrey, PinkFairyArmadillo"
19LJV1,"CopperRed, Iguanodon"
19LJX1,"Mulberry, EasternLowlandGorilla"
19LLP2,"BrilliantRose, ZebraShark"
19LN3N,"LavenderBlush, Arthropod"
19LNRZ,"LightSeaGreen, AinuDog"
19LPEO,"GhostWhite, Cassowary"
19LUE4,"LightSalmon, HawaiianMonkSeal"
19LUQV,"DeepRed, SpiderMonkey"
19LVNU,"PalePlum, LeafTailedGecko"
19M6YM,"PineGreen, Elk"
19METN,"CerisePink, Arthropod"
19MGMI,"DollarBill, Budgerigar"
19MIT9,"SpanishViolet, SaintBernard"
19MJ7E,"JapaneseViolet, Tang"
19MJZ7,"MediumOrchid, Axolotl"
19MLZR,"CrimsonGlory, LongEaredOwl"
19MRE7,"Emerald, DeutscheBracke"
19MSGJ,"LightHotPink, Swan"
19MTW3,"KombuGreen, Bongo"
19MZT0,"ElectricGreen, Jaguar"
19N0G5,"MidnightGreen, AustralianShepherd"
19N4B9,"DarkBrownTangelo, SnowMonkey"
19N6WB,"Melon, RussianBlue"
19NBOZ,"Pear, FieldSpaniel"
19NBT5,"Taupe, DogfishShark"
19NCO0,"Liberty, StripedRocketFrog"
19NDSA,"IndigoDye, Boar"
19NEZR,"HookersGreen, GermanShepherd"
19NI9K,"CelestialBlue, Crocodile"
19NM0C,"GOGreen, JapaneseChin"
19NNYW,"DeepSpringBud, Rottweiler"
19NS5I,"SuperPink, RadiatedTortoise"
19NTBO,"EnglishLavender, CrabEatingMacaque"
19NUV7,"PrincessPerfume, Zonkey"
19NX59,"LightOrchid, Stoat"
19NYAV,"CamouflageGreen, Kiwi"
19O0KY,"AzureMist, IndianElephant"
19O19Y,"LawnGreen, BrownBear"
19O3IG,"RazzmicBerry, GermanPinscher"
19O4ZT,"Goldenrod, SumatranElephant"
19O5KO,"BlueViolet, Puma"
19O5T4,"BattleshipGrey, PussMoth"
19O7AG,"PinkPearl, GrayWhale"
19O7BR,"DarkMossGreen, Cattle"
19OFSW,"Melon, Meerkat"
19OGRQ,"DeepCoffee, Vole"
19OGWK,"DarkLava, LabradorRetriever"
19OHAS,"LavenderMagenta, Narwhal"
19OJ6V,"Liberty, FloridaPanther"
19OKIM,"Inchworm, IrishWolfHound"
19ON1N,"Marigold, CairnTerrier"
19ONT2,"LavenderPink, AustralianMist"
19ONWD,"Burgundy, Ray"
19OOQW,"Olivine, Darwin'sFrog"
19ORC5,"DimGray, RedEyedTreeFrog"
19ORF7,"OperaMauve, Tuatara"
19OTUC,"ElectricPurple, GoldenRetriever"
19OXRP,"Cornsilk, Macaw"
19OZOY,"Cerise, Turtle"
19P171,"Aqua, PygmyHippopotamus"
19P6J0,"LightBlue, Otter"
19P8K0,"PinkPearl, Chipmunk"
19PAR6,"Frostbite, Panda"
19PBIB,"DeepCerise, Hamster"
19PCXY,"SeaBlue, WhiteFacedCapuchin"
19PEEF,"MysticMaroon, Gharial"
19PFQ7,"GlossyGrape, Snowshoe"
19PFS1,"RomanSilver, Aardwolf"
19PH2V,"SacramentoStateGreen, Dragonfly"
19PJPX,"LincolnGreen, PufferFish"
19PLAW,"CadmiumRed, Kudu"
19PQLH,"DarkPastelRed, SiberianTiger"
19PQVY,"LavenderBlue, Cuttlefish"
19PSHF,"CopperRed, BlacktipReefShark"
19PYGU,"CharmPink, BigHornedSheep"
19PZAY,"Jet, BaskingShark"
19PZKD,"NewYorkPink, Zebu"
19PZN5,"SpiroDiscoBall, Bloodhound"
19Q5ZH,"ResolutionBlue, GoldenOriole"
19Q810,"KUCrimson, SouthChinaTiger"
19QBO3,"MediumOrchid, NorwegianForest"
19QGDI,"BrownNose, Insect"
19QIFQ,"Brass, Cockroach"
19QJG5,"MummysTomb, Heron"
19QKX7,"CoralRed, ShortfinMakoShark"
19QNQF,"DarkOrange, BavarianMountainHound"
19QOGS,"PaleRedViolet, Greyhound"
19QOUK,"JapaneseIndigo, BullMastiff"
19QSZ2,"Pearl, Camel"
19QUA7,"RoseMadder, MorayEel"
19QVI4,"RubineRed, BigHornedSheep"
19R18O,"PlumpPurple, Drever"
19R4A7,"DarkKhaki, CarolinaDog"
19R57J,"BlizzardBlue, FishingCat"
19R5AM,"Tulip, AmericanEskimoDog"
19R65R,"Artichoke, GrayWhale"
19R6RU,"GrayBlue, Buffalo"
19R7NB,"OxfordBlue, Alligator"
19RA5C,"ElectricCyan, SiameseFightingFish"
19RAG0,"MediumCarmine, EpagneulPontAudemer"
19RAX5,"CyanAzure, Ray"
19RCHT,"JapaneseIndigo, SandbarShark"
19RDN9,"NonPhotoBlue, BottlenoseDolphin"
19RF83,"DarkBlueGray, RadiatedTortoise"
19RKO7,"PrincetonOrange, Muskrat"
19RKOP,"Peru, Vole"
19RNXB,"DarkYellow, Budgerigar"
19RPI0,"LightApricot, HarborPorpoise"
19RPQC,"DeepSpringBud, BeardedDragon"
19RUB3,"StarCommandBlue, Indri"
19RVX7,"Jet, Bull"
19RX2V,"MagicMint, TigerShark"
19RXPY,"TartOrange, GreatDane"
19RYDX,"DarkTerraCotta, VancouverIslandMarmot"
19RZY6,"CopperRed, Bloodhound"
19S1VN,"Sienna, Kangaroo"
19S6SC,"Gamboge, Gorilla"
19S7IH,"BlueViolet, Emu"
19S8R9,"PullmanGreen, Skink"
19SBOR,"DarkRed, Muskox"
19SEZK,"PaleMagenta, Gorilla"
19SJCD,"CosmicLatte, FinnishSpitz"
19SKCY,"SealBrown, Boar"
19SLC1,"DeepRuby, PotbelliedPig"
19SM53,"BakerMillerPink, Wasp"
19SMX3,"Coffee, Hyena"
19SN1Y,"OrchidPink, RedhandedTamarin"
19SN56,"Cardinal, PineMarten"
19SR1H,"OrangeSoda, FreshWaterCrocodile"
19SUSN,"BittersweetShimmer, AsianElephant"
19SZWJ,"PaleGreen, BelugaWhale"
19T29T,"LightApricot, BeardedCollie"
19T4QH,"PersianGreen, VancouverIslandMarmot"
19T6XR,"Amazon, Wildcat"
19T7XW,"PaleTurquoise, GreySeal"
19TECL,"MinionYellow, SumatranTiger"
19TFVV,"SmokyTopaz, Przewalski'sWildhorse"
19TK9B,"Daffodil, CurlyCoatedRetriever"
19TKPA,"Pear, Labradoodle"
19TKWP,"OldRose, Wolverine"
19TL7L,"DesaturatedCyan, AustralianTerrier"
19TP9C,"Sienna, WhiteRhinoceros"
19TQS1,"RoseVale, DuckbillPlatypus"
19TV7F,"CobaltBlue, GrayReefShark"
19TVTR,"Flattery, Labradoodle"
19U13I,"Kobe, CairnTerrier"
19U48N,"MistyMoss, AppenzellerDog"
19U6ZC,"DarkGunmetal, Whale"
19U7WV,"MediumSpringBud, Tapir"
19UDNV,"AzureMist, OldEnglishSheepdog"
19UFSI,"OldLavender, Coral"
19UGEV,"SpringBud, Turkey"
19UIXB,"Ruby, Rottweiler"
19UL34,"SpringFrost, Manatee"
19UM31,"CrimsonGlory, Saola"
19UQX8,"SilverLakeBlue, MagellanicPenguin"
19URDD,"Nyanza, Fly"
19URO8,"Kobi, Butterfly"
19UVIG,"PalatinateBlue, YellowEyedPenguin"
19V367,"MediumTaupe, Pointer"
19V3K1,"FieryRose, Echidna"
19V5G6,"Tangelo, GalapagosShark"
19V9TY,"DarkScarlet, Tiffany"
19VHA3,"GrannySmithApple, Macaw"
19VJBO,"PurplePizzazz, Coyote"
19VQGJ,"AlabamaCrimson, Badger"
19VR52,"TerraCotta, WhiteTiger"
19VRYF,"Sunset, Gazelle"
19VSJP,"Fandango, Lama"
19VUX7,"Fandango, BedlingtonTerrier"
19VVEH,"DarkTerraCotta, DuskyDolphin"
19VWK4,"Jade, DuckbillPlatypus"
19W37G,"BangladeshGreen, Scorpion"
19W7OM,"Rackley, Wildcat"
19WATR,"CeladonBlue, ClownFish"
19WBC6,"LightCornflowerBlue, StripedRocketFrog"
19WBCL,"LemonMeringue, CavalierKingCharlesSpaniel"
19WC75,"BlackLeatherJacket, BorderTerrier"
19WCL7,"PortlandOrange, AustralianTerrier"
19WHV8,"Inchworm, BullShark"
19WMZP,"Cinnabar, SumatranRhinoceros"
19WNLW,"DarkBlue, Weasel"
19WODZ,"Onyx, RingedSeal"
19WR5U,"Timberwolf, JapaneseChin"
19WT5Q,"JapaneseCarmine, Scorpion"
19WTT2,"CalPolyGreen, AfricanClawedFrog"
19WVGD,"PersianGreen, TurkishAngora"
19WYHA,"TiffanyBlue, BullShark"
19WZ0J,"Olivine, Lizard"
19X04F,"LightKhaki, PotbelliedPig"
19X3NN,"StilDeGrainYellow, Catfish"
19X9EE,"PaleChestnut, AustralianMist"
19XCAO,"GrannySmithApple, DikDik"
19XE9Y,"Mystic, Human"
19XEJB,"CadmiumGreen, TreeFrog"
19XHSH,"Raspberry, BangleTiger"
19XJDF,"RaspberryPink, Hyena"
19XJR2,"Teal, Ostrich"
19XKRM,"LaserLemon, Rabbit"
19XN53,"CarolinaBlue, StaffordshireBullTerrier"
19XNNK,"CandyPink, BlackFootedRhino"
19XQ2D,"CelestialBlue, Dodo"
19XQCB,"RubineRed, BlackRhino"
19XQOE,"Skobeloff, SnowMonkey"
19XZ6N,"LavenderMagenta, Zebra"
19Y0UO,"BrightTurquoise, Pekingese"
19Y4NO,"BeauBlue, DwarfCrocodile"
19Y86A,"DarkTerraCotta, Skink"
19YAC4,"FreshAir, Lemur"
19YCI1,"Lumber, Bonobo"
19YCWR,"OldGold, ThornyDevil"
19YD5F,"MyrtleGreen, StripedDolphin"
19YE2K,"DeepCoffee, FrilledLizard"
19YEMR,"USAFABlue, Tapir"
19YGR6,"PiggyPink, BottlenoseWhale"
19YHYR,"BritishRacingGreen, Ladybird"
19YJLT,"Glitter, BottlenoseDolphin"
19YLEP,"EerieBlack, Dragonfly"
19YMLN,"Grape, LeopardShark"
19YONE,"Aquamarine, WaterBuffalo"
19YSFR,"Gray, Newt"
19YVB8,"Olive, HornedFrog"
19YWLP,"CyanBlueAzure, Prawn"
19YWYV,"Mantis, IndochineseTiger"
19YXH8,"CelestialBlue, Parrot"
19YYFZ,"DarkTerraCotta, AustralianMist"
19YZ6W,"Bluebonnet, CottontopTamarin"
19Z9S3,"Chamoisee, HumboldtPenguin"
19ZAEU,"Ruby, Snail"
19ZBA1,"Dirt, Siamese"
19ZDKR,"Lemon, Ermine"
19ZGYR,"Almond, Manatee"
19ZJHE,"FlamingoPink, Camel"
19ZLT8,"PuceRed, DeutscheBracke"
19ZN3O,"SlimyGreen, GalapagosTortoise"
19ZQ8Y,"RuddyPink, AnatolianShepherdDog"
19ZQF7,"DarkPastelGreen, DobermanPinscher"
19ZVDQ,"Indigo, Seahorse"
19ZYZG,"FluorescentOrange, GalapagosTortoise"
1A015W,"LightPastelPurple, SandLizard"
1A02WG,"PinkLace, Lama"
1A03SW,"PaleChestnut, Cheetah"
1A03XD,"AirForceBlue, Pheasant"
1A04D2,"Flame, Quokka"
1A06BE,"BrightMaroon, Budgerigar"
1A086A,"SteelTeal, MantaRay"
1A0CN6,"Inchworm, AmericanStaffordshireTerrier"
1A0SCK,"MediumJungleGreen, NorwegianForest"
1A0TRW,"MistyRose, Lion"
1A0VQZ,"CoolBlack, TreeFrog"
1A0ZWD,"Redwood, AfricanWildDog"
1A11BW,"LightSteelBlue, Turtle"
1A13PF,"BlueSapphire, Opossum"
1A15MT,"BabyPink, Manatee"
1A16RS,"SilverLakeBlue, Crab"
1A1LLO,"SpanishRed, Salamander"
1A1O95,"Manatee, IrrawaddyDolphin"
1A1OPM,"PaleGold, SeaTurtle"
1A1OQ4,"Fuchsia, ScorpionFish"
1A1QLN,"BrilliantAzure, Shrimp"
1A1QX0,"Capri, Walrus"
1A1RHT,"Desire, FoxTerrier"
1A1YCO,"BakerMillerPink, DartFrog"
1A1YXW,"BlackShadows, Manatee"
1A1ZAT,"LightSeaGreen, Cougar"
1A20CU,"BabyBlue, Swan"
1A20LC,"Moccasin, Bombay"
1A20VC,"CyanBlueAzure, SlowWorm"
1A23SW,"ArylideYellow, GoldenLionTamarin"
1A24E2,"NorthTexasGreen, SiameseFightingFish"
1A26Y7,"Eggshell, Fly"
1A27K7,"SpanishViolet, KillerWhale"
1A29GR,"Rosewood, LoggerheadTurtles"
1A2CRV,"PolishedPine, Darwin'sFrog"
1A2FCD,"Cadet, CaimanLizard"
1A2G56,"FuzzyWuzzy, Lionfish"
1A2JAZ,"DarkCandyAppleRed, HammerheadShark"
1A2KDA,"MagicPotion, CommonSeal"
1A2Q0B,"TigersEye, Caiman"
1A2Q9B,"Bole, MountainGorilla"
1A2QOO,"LightSlateGray, Booby"
1A2TIF,"Blush, Manatee"
1A2UVL,"BitterLime, Fish"
1A2W50,"Ginger, Shark"
1A2W8E,"DeepChestnut, Gecko"
1A2Z9W,"LightSteelBlue, RedKneeTarantula"
1A3016,"Sienna, AlpineDachsbracke"
1A34UP,"SaddleBrown, SumatranTiger"
1A35WL,"OrangeSoda, AfricanTreePangolin"
1A3GJA,"Artichoke, RedEyedTreeFrog"
1A3IFP,"RosyBrown, BengalTiger"
1A3KZ5,"LightMossGreen, Otter"
1A3LZI,"RoseTaupe, Coyote"
1A3MIX,"Ruby, Olm"
1A3NXP,"BlackCoral, FurSeal"
1A3O4T,"LightMossGreen, Vole"
1A3PYW,"Carnelian, Echidna"
1A3SJE,"LawnGreen, FlyingFox"
1A3T8T,"RosePink, Guppy"
1A3VF1,"BudGreen, Degus"
1A3W7N,"BurntSienna, BoykinSpaniel"
1A3W8G,"RawSienna, Persian"
1A3XST,"SpiroDiscoBall, ScallopedHammerheadShark"
1A3Y3V,"LemonMeringue, StripedRocketFrog"
1A3YG8,"PinkLavender, Cockroach"
1A3ZUN,"CGRed, Mule"
1A43AC,"Shadow, CrestedPenguin"
1A44A2,"SpanishCrimson, TawnyOwl"
1A4E2X,"RoseVale, Rottweiler"
1A4FJ5,"PersianRose, EskimoDog"
1A4HNF,"Copper, Goat"
1A4I5V,"FrenchViolet, BlackBear"
1A4IO3,"DarkYellow, Drever"
1A4NJ9,"DarkOrange, GilaMonster"
1A4O7Z,"TealBlue, ChesapeakeBayRetriever"
1A4SEI,"OceanBlue, Zorilla"
1A4TUA,"NeonGreen, Armadillo"
1A4UUF,"ResolutionBlue, AustralianMist"
1A4XU6,"GreenCyan, HarborSeal"
1A4Y64,"HonoluluBlue, Akbash"
1A4YCO,"SteelTeal, DuskyDolphin"
1A5152,"ArcticLime, Risso'sDolphin"
1A53PR,"Flame, SeaTurtle"
1A54HC,"Ceil, MinkeWhale"
1A57UF,"Sapphire, ChowChow"
1A5AKQ,"BlackBean, Bison"
1A5BQY,"SteelBlue, Jackrabbit"
1A5CDK,"BabyPowder, Coati"
1A5DZI,"MountainMeadow, LoggerheadTurtles"
1A5EZ9,"Cream, Bloodhound"
1A5JAH,"MountbattenPink, Wasp"
1A5JXK,"Beaver, LeopardSeal"
1A5KRT,"ElectricGreen, DoorMouse"
1A5N30,"DarkRed, CarolinaDog"
1A5NDY,"LavenderPurple, Sponge"
1A5Q7F,"KombuGreen, Whippet"
1A5QNU,"DarkSalmon, RussianBlue"
1A5RHH,"MountbattenPink, RedPanda"
1A5SCL,"BlackLeatherJacket, SeiWhale"
1A5TKM,"OutrageousOrange, DwarfCrocodile"
1A5W39,"DarkCandyAppleRed, Swan"
1A5Y1A,"PaleCornflowerBlue, SeaSquirt"
1A5YX8,"Bisque, DogfishShark"
1A63XY,"Firebrick, Alligator"
1A68LN,"Denim, Centipede"
1A6A6P,"ElectricBlue, NorwegianForest"
1A6AP6,"SteelPink, Nutria"
1A6CXD,"GoldenBrown, BlackFootedRhino"
1A6FDC,"DarkImperialBlue, Rottweiler"
1A6HV2,"TuscanTan, WildBoar"
1A6MRP,"CeladonGreen, Labradoodle"
1A6PND,"OtterBrown, NurseShark"
1A6QDG,"Thistle, Starfish"
1A6SZZ,"Moccasin, ZebraShark"
1A6TQI,"QuinacridoneMagenta, BengalTiger"
1A6U4N,"CadetBlue, GlowWorm"
1A6W5X,"LavenderMist, Pointer"
1A6X5Y,"PearlAqua, GalapagosPenguin"
1A71BS,"PaleChestnut, ProboscisMonkey"
1A74DR,"RegistrationBlack, BigHornedSheep"
1A78UF,"LightTaupe, NurseShark"
1A79FV,"TuscanRed, IrishWolfHound"
1A7JZC,"CarminePink, Frog"
1A7LXV,"MysticMaroon, BarnOwl"
1A7MGB,"Plum, FlyingSquirrel"
1A7Q2M,"Aquamarine, KomodoDragon"
1A7RY6,"PersianIndigo, KingPenguin"
1A7TBF,"SpanishCrimson, Snail"
1A7TPG,"Rosewood, MoleSalamander"
1A7TQI,"IslamicGreen, Bullfrog"
1A7V3F,"QuickSilver, Quokka"
1A83DF,"Red, Neanderthal"
1A844O,"PastelPurple, Budgerigar"
1A84UO,"OtterBrown, Goat"
1A852L,"DarkSalmon, AfricanWildDog"
1A8645,"Ruddy, GoldenLionTamarin"
1A87U5,"TuftsBlue, Dhole"
1A87X3,"PastelOrange, Heron"
1A8DQS,"RoseDust, Seahorse"
1A8EHL,"DarkLava, Drever"
1A8ET3,"Flirt, SilverDollar"
1A8FC3,"Ebony, WesternLowlandGorilla"
1A8GOL,"RoyalBlue, Nightingale"
1A8L7U,"MediumSeaGreen, WaterVole"
1A8LMR,"MintCream, BarnOwl"
1A8PGV,"Folly, CloudedLeopard"
1A8T05,"Eucalyptus, Zebra"
1A8V5J,"RosyBrown, Rabbit"
1A8VIQ,"ShinyShamrock, Lizard"
1A8Y4V,"ElectricYellow, SeaTurtles"
1A95SN,"Feldgrau, RingedSeal"
1A9818,"ChinaRose, BullTerrier"
1A99JF,"CyanAzure, EnglishShepherd"
1A9BEU,"Ceil, BillyGoat"
1A9CC8,"HotPink, TawnyOwl"
1A9DKI,"JapaneseCarmine, GrayReefShark"
1A9FZ0,"SpicyMix, Dugong"
1A9G0E,"Byzantine, Squid"
1A9HJA,"DeepCoffee, AsianGiantHornet"
1A9IQN,"DarkRed, Woodpecker"
1A9JQN,"Orchid, Fish"
1A9KGV,"AmericanRose, WhaleShark"
1A9L6N,"DarkBlueGray, Crustacean"
1A9MIH,"ChlorophyllGreen, BottleNosedDolphin"
1A9MVJ,"GrayAsparagus, Lobster"
1A9SLC,"LightBlue, Siberian"
1AA0LM,"DarkByzantium, CeskyFousek"
1AA1ZU,"Icterine, Raccoon"
1AA27B,"Folly, SomaliWildAss"
1AA2H0,"LightSteelBlue, HumpbackWhale"
1AA50N,"BurntUmber, Cattle"
1AA61M,"RubineRed, Cheetah"
1AACU9,"MyrtleGreen, KingPenguin"
1AAD2R,"DarkPurple, StripedRocketFrog"
1AAH2E,"NaplesYellow, MonitorLizard"
1AAIL3,"SpringBud, LemonShark"
1AAJG4,"IndianRed, AldabraGiantTortoise"
1AAJWG,"Rosewood, FieldSpaniel"
1AAK25,"MediumJungleGreen, Kudu"
1AAQAC,"PeachPuff, MinkeWhale"
1AASGT,"Taupe, GalapagosLandIguana"
1AATLY,"ChinaRose, Hummingbird"
1AAU5J,"DarkLava, FrenchBulldog"
1AAWHP,"FrenchBistre, PoolFrog"
1AAYDT,"SmokyTopaz, Nightingale"
1AB0CC,"BritishRacingGreen, Puma"
1AB2AQ,"HeliotropeGray, Bison"
1AB779,"Moccasin, Monkey"
1AB984,"Eggshell, SpadefootToad"
1ABCST,"Honeydew, StaffordshireBullTerrier"
1ABEY4,"Gray, Turtle"
1ABFFE,"Pear, GreaterSwissMountainDog"
1ABHEQ,"Celadon, Balinese"
1ABHWZ,"FrenchMauve, Squid"
1ABHZW,"RoseRed, Pademelon"
1ABI96,"LightTaupe, Degus"
1ABIBN,"EarthYellow, BullTerrier"
1ABMEP,"MughalGreen, EgyptianMau"
1ABUI4,"FrenchPlum, Quail"
1ABUIK,"Azure, BlackFootedRhino"
1ABW2G,"LiverChestnut, Booby"
1AC0B6,"FrenchBeige, XRayTetra"
1AC377,"DarkPastelBlue, Porcupine"
1AC3MZ,"DarkCerulean, MarbledSalamander"
1AC5RE,"TitaniumYellow, Greyhound"
1AC7FN,"Beaver, Lizard"
1ACAWI,"MidnightGreen, Peacock"
1ACCGF,"LightBlue, Alpaca"
1ACCHK,"RoseQuartz, Tamarin"
1ACCOB,"BrandeisBlue, Cockroach"
1ACDFN,"RoseEbony, HarpSeal"
1ACFAM,"Cerulean, Meerkat"
1ACFJW,"CarmineRed, Lizard"
1ACH6G,"ElectricViolet, ClownFish"
1ACHA7,"SkyMagenta, BavarianMountainHound"
1ACHF3,"Rosewood, BavarianMountainHound"
1ACI1M,"AlienArmpit, DuckbillPlatypus"
1ACOIX,"Orchid, SandbarShark"
1ACREH,"DeepCarmine, SnowLeopard"
1ACYE0,"KellyGreen, Grouse"
1AD1JR,"AlienArmpit, ReefShark"
1AD23V,"Lenurple, Gazelle"
1AD2OP,"LightGoldenrodYellow, Jellyfish"
1AD5LY,"CadetBlue, GiantAfricanLandSnail"
1ADBGL,"BrilliantAzure, Nautilus"
1ADEVF,"PersianGreen, RiverDolphin"
1ADJOC,"Sunset, Fossa"
1ADM2P,"RebeccaPurple, FurSeal"
1ADMN7,"ArylideYellow, SumatranElephant"
1ADMNP,"OceanBlue, GreyMouseLemur"
1ADNUL,"DeepCerise, Cheetah"
1ADSQM,"SpanishSkyBlue, WhiteRhinoceros"
1ADWOK,"DarkSpringGreen, Platypus"
1ADYRO,"FaluRed, Deer"
1AE4A8,"DarkMediumGray, Nightingale"
1AE4JE,"PakistanGreen, Anteater"
1AECQL,"RawUmber, MelonHeadedWhale"
1AEDAG,"Artichoke, Giraffe"
1AEDGZ,"DarkLavender, Turtle"
1AEHI2,"LightGoldenrodYellow, Hippopotamus"
1AEJH0,"Harlequin, IbizanHound"
1AENRI,"Purpureus, CurlyCoatedRetriever"
1AEOFI,"LightKhaki, Beaver"
1AEPN7,"Smitten, KillerWhale"
1AEQF3,"PaleMagentaPink, SumatranRhinoceros"
1AF0CM,"SonicSilver, Mongrel"
1AF0Q4,"RichElectricBlue, Moth"
1AF1N6,"Nyanza, Whale"
1AF3LT,"RedViolet, PondSkater"
1AF4K0,"RuddyPink, BottleNosedDolphin"
1AF60H,"Tomato, SeiWhale"
1AF7Y8,"PewterBlue, Quetzal"
1AF9UA,"AppleGreen, Arthropod"
1AFC4K,"RussianViolet, Cuttlefish"
1AFEKE,"Eucalyptus, Armadillo"
1AFIOH,"OUCrimsonRed, Pheasant"
1AFL47,"PastelRed, Quokkas"
1AFLOP,"LiseranPurple, Jackal"
1AFM17,"FrenchWine, YorkshireTerrier"
1AFN00,"PakistanGreen, Tuatara"
1AFRM9,"DeepCoffee, BottlenoseDolphin"
1AFS2J,"TigersEye, DuckbillPlatypus"
1AFUPW,"AntiqueFuchsia, Quokkas"
1AFVRX,"SeaBlue, Guppy"
1AFW7G,"DeepCarminePink, Coati"
1AFWJ1,"Flavescent, DuskyDolphin"
1AFX0Y,"QuinacridoneMagenta, Pointer"
1AG0I4,"InternationalKleinBlue, IbizanHound"
1AG33V,"Periwinkle, EmperorPenguin"
1AG6NU,"DarkPink, Serval"
1AG9ZR,"Eminence, Hyena"
1AGBPY,"BlueMagentaViolet, Hare"
1AGBW8,"Licorice, Chipmunk"
1AGH33,"MughalGreen, Sparrow"
1AGQ0L,"Lemon, Bison"
1AGQ9E,"TropicalRainForest, DeutscheBracke"
1AGR92,"MediumLavenderMagenta, PotbelliedPig"
1AGS99,"DarkCoral, WildBoar"
1AGU0T,"ElectricPurple, BlackHowlerMonkey"
1AGW8I,"RubyRed, LittlePenguin"
1AGX5A,"PsychedelicPurple, Lizard"
1AGXVL,"RawUmber, AmericanCockerSpaniel"
1AGYEA,"SlateBlue, CommonBuzzard"
1AGYF2,"DollarBill, BigHornedSheep"
1AGZ34,"GenericViridian, CollaredPeccary"
1AH1KG,"Sunray, MinkeWhale"
1AH309,"BlackOlive, Panther"
1AH30N,"SpanishBistre, Mandrill"
1AH3FF,"OldLace, RedPanda"
1AH4UI,"GiantsOrange, VancouverIslandMarmot"
1AH6W2,"GreenYellow, Quolls"
1AH73U,"RegistrationBlack, WildBoar"
1AH7S4,"DarkMediumGray, RiverTurtle"
1AH8GF,"DeepJungleGreen, Falcon"
1AH92J,"Bronze, MaskedPalmCivet"
1AH93F,"EarthYellow, CommonFrog"
1AHATM,"RoseTaupe, HerculesBeetle"
1AHCBH,"Indigo, SeaLion"
1AHCJT,"LightSeaGreen, Degus"
1AHDQQ,"Mauve, BillyGoat"
1AHG5E,"RoyalAzure, WelshCorgi"
1AHJU0,"EgyptianBlue, Tiffany"
1AHKJO,"Maize, RadiatedTortoise"
1AHLEK,"Flattery, SiameseFightingFish"
1AHLIX,"LightBrilliantRed, Skink"
